category,context_condition,model,neg_Non-target,neg_Target,nonneg_Non-target,nonneg_Target,new_bias_score,accuracy,acc_bias,x
Disability_status,ambig,actadd_Llama-3.1-8B-Instruct_pred_arc,38.0,129.0,115.0,43.0,0.058461538461538565,0.282560706401766,4.194260485651221,0
Disability_status,ambig,actadd_Llama-3.1-8B-Instruct_pred_qonly,52.0,121.0,104.0,39.0,0.012658227848101333,0.4819672131147541,0.6557377049180363,0
Disability_status,ambig,actadd_Llama-3.1-8B-Instruct_pred_race,45.0,173.0,138.0,29.0,0.049350649350649256,0.2421259842519685,3.740157480314953,0
Disability_status,ambig,baseline_Llama-3.1-8B-Instruct_pred_arc,11.0,41.0,45.0,19.0,0.034482758620689724,0.546875,1.562500000000003,0
Disability_status,ambig,baseline_Llama-3.1-8B-Instruct_pred_qonly,13.0,96.0,61.0,29.0,0.256281407035176,0.5158150851581509,12.408759124087595,0
Disability_status,ambig,baseline_Llama-3.1-8B-Instruct_pred_race,15.0,83.0,74.0,26.0,0.101010101010101,0.38125,6.249999999999999,0
Disability_status,ambig,deberta_base,55.0,204.0,139.0,73.0,0.17622080679405516,0.39460154241645246,10.668380462724935,0
Disability_status,ambig,deberta_large,69.0,288.0,72.0,151.0,0.5137931034482759,0.2544987146529563,38.30334190231363,0
Disability_status,ambig,roberta_base,28.0,165.0,126.0,66.0,0.19999999999999996,0.5051413881748072,9.897172236503852,0
Disability_status,ambig,roberta_large,40.0,137.0,97.0,135.0,0.33007334963325174,0.47429305912596403,17.352185089974288,0
Disability_status,ambig,unifiedqa_baseline_qonly,43.0,161.0,35.0,149.0,0.597938144329897,0.5012853470437018,29.820051413881753,0
Disability_status,ambig,unifiedqa_format_arc,44.0,240.0,78.0,136.0,0.5100401606425702,0.35989717223650386,32.6478149100257,0
Disability_status,ambig,unifiedqa_format_race,36.0,169.0,63.0,95.0,0.4545454545454546,0.5334190231362468,21.20822622107969,0
Disability_status,disambig,ablation_Llama-3.1-8B-Instruct_pred_arc,87.0,126.0,121.0,87.0,0.01187648456057011,0.9389671361502347,1.187648456057011,0
Disability_status,disambig,ablation_Llama-3.1-8B-Instruct_pred_qonly,18.0,120.0,101.0,45.0,0.1619718309859155,0.2910602910602911,16.19718309859155,0
Disability_status,disambig,ablation_Llama-3.1-8B-Instruct_pred_race,72.0,162.0,183.0,94.0,0.001956947162426559,0.86328125,0.1956947162426559,0
Disability_status,disambig,actadd_Llama-3.1-8B-Instruct_pred_arc,73.0,122.0,145.0,66.0,-0.07389162561576357,0.740990990990991,-7.389162561576357,0
Disability_status,disambig,actadd_Llama-3.1-8B-Instruct_pred_qonly,53.0,121.0,103.0,36.0,0.0031948881789136685,0.2565789473684211,0.31948881789136685,0
Disability_status,disambig,actadd_Llama-3.1-8B-Instruct_pred_race,51.0,141.0,140.0,50.0,0.0,0.5055928411633109,0.0,0
Disability_status,disambig,baseline_Llama-3.1-8B-Instruct_pred_arc,57.0,106.0,108.0,66.0,0.020771513353115667,0.872093023255814,2.0771513353115667,0
Disability_status,disambig,baseline_Llama-3.1-8B-Instruct_pred_qonly,12.0,93.0,55.0,34.0,0.30927835051546393,0.24060150375939848,30.927835051546392,0
Disability_status,disambig,baseline_Llama-3.1-8B-Instruct_pred_race,81.0,106.0,147.0,63.0,-0.1486146095717884,0.8242574257425742,-14.86146095717884,0
Disability_status,disambig,deberta_base,150.0,176.0,138.0,163.0,0.08133971291866038,0.7699228791773779,8.133971291866038,0
Disability_status,disambig,deberta_large,188.0,197.0,190.0,194.0,0.016905071521456483,0.9884318766066839,1.6905071521456483,0
Disability_status,disambig,roberta_base,118.0,185.0,138.0,100.0,0.05360443622920519,0.5141388174807198,5.360443622920519,0
Disability_status,disambig,roberta_large,179.0,195.0,142.0,165.0,0.05726872246696035,0.8650385604113111,5.726872246696035,0
Disability_status,disambig,unifiedqa_baseline_qonly,43.0,161.0,35.0,149.0,0.597938144329897,0.2442159383033419,59.7938144329897,0
Disability_status,disambig,unifiedqa_format_arc,183.0,186.0,181.0,173.0,-0.006915629322268302,0.9203084832904884,-0.6915629322268302,0
Disability_status,disambig,unifiedqa_format_race,186.0,191.0,183.0,168.0,-0.013736263736263687,0.9280205655526992,-1.3736263736263687,0
Gender_identity,ambig,ablation_Llama-3.1-8B-Instruct_pred_arc,2.0,21.0,40.0,10.0,-0.15068493150684936,0.4785714285714286,-7.8571428571428585,0
Gender_identity,ambig,ablation_Llama-3.1-8B-Instruct_pred_qonly,6.0,42.0,49.0,7.0,-0.05769230769230771,0.4926829268292683,-2.9268292682926838,0
Gender_identity,ambig,ablation_Llama-3.1-8B-Instruct_pred_race,0.0,18.0,20.0,6.0,0.09090909090909083,0.6615384615384615,3.0769230769230744,0
Gender_identity,ambig,actadd_Llama-3.1-8B-Instruct_pred_arc,2.0,42.0,33.0,9.0,0.18604651162790709,0.29508196721311475,13.114754098360665,0
Gender_identity,ambig,actadd_Llama-3.1-8B-Instruct_pred_qonly,11.0,45.0,29.0,29.0,0.29824561403508776,0.5793357933579336,12.546125461254611,0
Gender_identity,ambig,actadd_Llama-3.1-8B-Instruct_pred_race,9.0,37.0,21.0,8.0,0.19999999999999996,0.4186046511627907,11.627906976744182,0
Gender_identity,ambig,baseline_Llama-3.1-8B-Instruct_pred_arc,0.0,11.0,17.0,4.0,-0.0625,0.7762237762237763,-1.3986013986013983,0
Gender_identity,ambig,baseline_Llama-3.1-8B-Instruct_pred_qonly,2.0,27.0,20.0,7.0,0.2142857142857142,0.6477987421383647,7.547169811320751,0
Gender_identity,ambig,baseline_Llama-3.1-8B-Instruct_pred_race,0.0,12.0,8.0,3.0,0.30434782608695654,0.8402777777777778,4.861111111111112,0
Gender_identity,ambig,deberta_base,12.0,75.0,51.0,37.0,0.28,0.5111731843575419,13.68715083798883,0
Gender_identity,ambig,deberta_large,16.0,90.0,36.0,53.0,0.46666666666666656,0.4553072625698324,25.418994413407813,0
Gender_identity,ambig,roberta_base,12.0,42.0,51.0,16.0,-0.04132231404958675,0.6620111731843575,-1.3966480446927365,0
Gender_identity,ambig,roberta_large,12.0,31.0,51.0,39.0,0.05263157894736836,0.6284916201117319,1.95530726256983,0
Gender_identity,ambig,unifiedqa_baseline_qonly,36.0,42.0,7.0,93.0,0.5168539325842696,0.5027932960893855,25.698324022346362,0
Gender_identity,ambig,unifiedqa_format_arc,39.0,72.0,8.0,97.0,0.5648148148148149,0.39664804469273746,34.0782122905028,0
Gender_identity,ambig,unifiedqa_format_race,19.0,55.0,13.0,31.0,0.4576271186440677,0.6703910614525139,15.083798882681561,0
Gender_identity,disambig,ablation_Llama-3.1-8B-Instruct_pred_arc,28.0,28.0,36.0,26.0,-0.0847457627118644,0.9256198347107438,-8.47457627118644,0
Gender_identity,disambig,ablation_Llama-3.1-8B-Instruct_pred_qonly,4.0,44.0,42.0,7.0,0.05154639175257736,0.2613065326633166,5.154639175257736,0
Gender_identity,disambig,ablation_Llama-3.1-8B-Instruct_pred_race,26.0,40.0,34.0,14.0,-0.052631578947368474,0.8173913043478261,-5.263157894736848,0
Gender_identity,disambig,actadd_Llama-3.1-8B-Instruct_pred_arc,16.0,31.0,49.0,38.0,0.029850746268656803,0.7867647058823529,2.9850746268656803,0
Gender_identity,disambig,actadd_Llama-3.1-8B-Instruct_pred_qonly,13.0,47.0,32.0,27.0,0.24369747899159666,0.2087912087912088,24.369747899159666,0
Gender_identity,disambig,actadd_Llama-3.1-8B-Instruct_pred_race,8.0,32.0,21.0,16.0,0.24675324675324672,0.5056179775280899,24.675324675324674,0
Gender_identity,disambig,baseline_Llama-3.1-8B-Instruct_pred_arc,14.0,19.0,18.0,19.0,0.08571428571428563,0.8961038961038961,8.571428571428562,0
Gender_identity,disambig,baseline_Llama-3.1-8B-Instruct_pred_qonly,2.0,30.0,22.0,8.0,0.22580645161290325,0.21739130434782608,22.580645161290324,0
Gender_identity,disambig,baseline_Llama-3.1-8B-Instruct_pred_race,18.0,33.0,13.0,9.0,0.15068493150684925,0.8831168831168831,15.068493150684926,0
Gender_identity,disambig,deberta_base,79.0,65.0,72.0,83.0,-0.010033444816053505,0.8184357541899442,-1.0033444816053505,0
Gender_identity,disambig,deberta_large,88.0,88.0,64.0,62.0,-0.0066225165562914245,0.8435754189944135,-0.6622516556291425,0
Gender_identity,disambig,roberta_base,41.0,84.0,51.0,54.0,0.19999999999999996,0.4664804469273743,19.999999999999996,0
Gender_identity,disambig,roberta_large,74.0,75.0,77.0,77.0,0.0033003300330032292,0.8435754189944135,0.3300330033003229,0
Gender_identity,disambig,unifiedqa_baseline_qonly,36.0,42.0,7.0,93.0,0.5168539325842696,0.25977653631284914,51.685393258426956,0
Gender_identity,disambig,unifiedqa_format_arc,76.0,76.0,67.0,68.0,0.0034843205574912606,0.7988826815642458,0.34843205574912606,0
Gender_identity,disambig,unifiedqa_format_race,75.0,82.0,67.0,63.0,0.010452961672473782,0.7988826815642458,1.0452961672473782,0
Gender_identity (names),ambig,ablation_Llama-3.1-8B-Instruct_pred_arc,6.0,16.0,24.0,47.0,0.35483870967741926,0.8333333333333334,5.913978494623652,0
Gender_identity (names),ambig,ablation_Llama-3.1-8B-Instruct_pred_qonly,7.0,34.0,41.0,45.0,0.2440944881889764,0.6887254901960784,7.598039215686275,0
Gender_identity (names),ambig,ablation_Llama-3.1-8B-Instruct_pred_race,15.0,39.0,51.0,76.0,0.270718232044199,0.5370843989769821,12.531969309462918,0
Gender_identity (names),ambig,actadd_Llama-3.1-8B-Instruct_pred_arc,66.0,120.0,116.0,142.0,0.18018018018018012,0.5276595744680851,8.510638297872337,0
Gender_identity (names),ambig,actadd_Llama-3.1-8B-Instruct_pred_qonly,154.0,296.0,249.0,244.0,0.14528101802757165,0.5324739712444224,6.792265741199804,0
Gender_identity (names),ambig,actadd_Llama-3.1-8B-Instruct_pred_race,134.0,191.0,170.0,157.0,0.06748466257668717,0.3900841908325538,4.1159962581852225,0
Gender_identity (names),ambig,baseline_Llama-3.1-8B-Instruct_pred_arc,4.0,19.0,21.0,32.0,0.3421052631578947,0.81,6.499999999999997,0
Gender_identity (names),ambig,baseline_Llama-3.1-8B-Instruct_pred_qonly,6.0,41.0,26.0,21.0,0.31914893617021267,0.7044025157232704,9.433962264150942,0
Gender_identity (names),ambig,baseline_Llama-3.1-8B-Instruct_pred_race,7.0,27.0,38.0,36.0,0.16666666666666674,0.6072727272727273,6.545454545454548,0
Gender_identity (names),ambig,deberta_base,119.0,290.0,253.0,399.0,0.2987747408105561,0.5756,12.680000000000003,0
Gender_identity (names),ambig,deberta_large,280.0,672.0,226.0,660.0,0.4494015233949946,0.2648,33.040000000000006,0
Gender_identity (names),ambig,roberta_base,103.0,110.0,216.0,318.0,0.14591700133868812,0.7012,4.36,0
Gender_identity (names),ambig,roberta_large,121.0,266.0,259.0,432.0,0.29499072356215206,0.5688,12.719999999999999,0
Gender_identity (names),ambig,unifiedqa_baseline_qonly,70.0,534.0,68.0,655.0,0.7920120572720422,0.4692,42.03999999999999,0
Gender_identity (names),ambig,unifiedqa_format_arc,145.0,612.0,78.0,692.0,0.7079240340537001,0.3892,43.24,0
Gender_identity (names),ambig,unifiedqa_format_race,68.0,437.0,78.0,535.0,0.7388193202146691,0.5528,33.040000000000006,0
Gender_identity (names),disambig,ablation_Llama-3.1-8B-Instruct_pred_arc,301.0,309.0,337.0,342.0,0.010085337470907785,0.9526764934057409,1.0085337470907785,0
Gender_identity (names),disambig,ablation_Llama-3.1-8B-Instruct_pred_qonly,7.0,38.0,44.0,45.0,0.23880597014925375,0.16826923076923078,23.880597014925375,0
Gender_identity (names),disambig,ablation_Llama-3.1-8B-Instruct_pred_race,318.0,439.0,262.0,291.0,0.11450381679389321,0.904833836858006,11.45038167938932,0
Gender_identity (names),disambig,actadd_Llama-3.1-8B-Instruct_pred_arc,285.0,347.0,332.0,294.0,0.019077901430842648,0.8536964980544747,1.9077901430842648,0
Gender_identity (names),disambig,actadd_Llama-3.1-8B-Instruct_pred_qonly,160.0,296.0,248.0,238.0,0.13375796178343946,0.24396254312469196,13.375796178343947,0
Gender_identity (names),disambig,actadd_Llama-3.1-8B-Instruct_pred_race,207.0,311.0,248.0,271.0,0.12246865959498554,0.552652414885194,12.246865959498553,0
Gender_identity (names),disambig,baseline_Llama-3.1-8B-Instruct_pred_arc,268.0,285.0,253.0,248.0,0.011385199240986799,0.959203036053131,1.1385199240986799,0
Gender_identity (names),disambig,baseline_Llama-3.1-8B-Instruct_pred_qonly,4.0,47.0,24.0,23.0,0.4285714285714286,0.13230769230769232,42.85714285714286,0
Gender_identity (names),disambig,baseline_Llama-3.1-8B-Instruct_pred_race,315.0,425.0,235.0,247.0,0.09983633387888702,0.9099025974025974,9.983633387888702,0
Gender_identity (names),disambig,deberta_base,512.0,606.0,551.0,563.0,0.04749103942652333,0.8536,4.749103942652333,0
Gender_identity (names),disambig,deberta_large,624.0,625.0,603.0,613.0,0.0044624746450303565,0.986,0.44624746450303565,0
Gender_identity (names),disambig,roberta_base,442.0,450.0,405.0,491.0,0.05257270693512295,0.5916,5.257270693512295,0
Gender_identity (names),disambig,roberta_large,529.0,579.0,526.0,541.0,0.029885057471264354,0.8412,2.9885057471264354,0
Gender_identity (names),disambig,unifiedqa_baseline_qonly,70.0,534.0,68.0,655.0,0.7920120572720422,0.2676,79.20120572720421,0
Gender_identity (names),disambig,unifiedqa_format_arc,563.0,609.0,519.0,553.0,0.035650623885918,0.8956,3.5650623885918,0
Gender_identity (names),disambig,unifiedqa_format_race,590.0,611.0,547.0,553.0,0.011734028683181297,0.9204,1.1734028683181297,0
Nationality,ambig,ablation_Llama-3.1-8B-Instruct_pred_arc,50.0,195.0,48.0,97.0,0.49743589743589745,0.5340501792114696,23.178016726403822,0
Nationality,ambig,ablation_Llama-3.1-8B-Instruct_pred_qonly,33.0,103.0,32.0,38.0,0.3689320388349515,0.6496598639455783,12.925170068027212,0
Nationality,ambig,ablation_Llama-3.1-8B-Instruct_pred_race,40.0,192.0,84.0,93.0,0.39364303178484117,0.5399325084364455,18.110236220472444,0
Nationality,ambig,actadd_Llama-3.1-8B-Instruct_pred_arc,96.0,156.0,83.0,119.0,0.21145374449339216,0.5102481121898598,10.355987055016186,0
Nationality,ambig,actadd_Llama-3.1-8B-Instruct_pred_qonly,108.0,139.0,101.0,140.0,0.14344262295081966,0.6214119472459271,5.430566330488751,0
Nationality,ambig,actadd_Llama-3.1-8B-Instruct_pred_race,91.0,122.0,83.0,115.0,0.15328467153284664,0.6059443911792906,6.040268456375835,0
Nationality,ambig,baseline_Llama-3.1-8B-Instruct_pred_arc,35.0,131.0,41.0,71.0,0.4532374100719425,0.5231560891938251,21.61234991423671,0
Nationality,ambig,baseline_Llama-3.1-8B-Instruct_pred_qonly,26.0,68.0,21.0,39.0,0.3896103896103895,0.664488017429194,13.071895424836596,0
Nationality,ambig,baseline_Llama-3.1-8B-Instruct_pred_race,45.0,130.0,78.0,86.0,0.2743362831858407,0.5029325513196481,13.636363636363635,0
Nationality,ambig,deberta_base,130.0,338.0,138.0,213.0,0.34554334554334565,0.4681818181818182,18.376623376623378,0
Nationality,ambig,deberta_large,158.0,431.0,211.0,252.0,0.2984790874524714,0.3168831168831169,20.389610389610386,0
Nationality,ambig,roberta_base,71.0,80.0,119.0,144.0,0.08212560386473422,0.7311688311688311,2.207792207792206,0
Nationality,ambig,roberta_large,166.0,207.0,224.0,261.0,0.09090909090909083,0.44285714285714284,5.06493506493506,0
Nationality,ambig,unifiedqa_baseline_qonly,94.0,252.0,104.0,203.0,0.3935681470137826,0.575974025974026,16.68831168831169,0
Nationality,ambig,unifiedqa_format_arc,136.0,328.0,202.0,233.0,0.24805339265850956,0.41623376623376623,14.480519480519485,0
Nationality,ambig,unifiedqa_format_race,89.0,176.0,127.0,132.0,0.17557251908396942,0.6597402597402597,5.974025974025973,0
Nationality,disambig,ablation_Llama-3.1-8B-Instruct_pred_arc,307.0,331.0,231.0,217.0,0.009208103130755152,0.9409090909090909,0.9208103130755152,0
Nationality,disambig,ablation_Llama-3.1-8B-Instruct_pred_qonly,36.0,104.0,33.0,37.0,0.34285714285714275,0.16387959866220736,34.28571428571428,0
Nationality,disambig,ablation_Llama-3.1-8B-Instruct_pred_race,288.0,344.0,271.0,291.0,0.06365159128978215,0.8340248962655602,6.365159128978215,0
Nationality,disambig,actadd_Llama-3.1-8B-Instruct_pred_arc,200.0,243.0,238.0,241.0,0.049891540130151846,0.8264794383149449,4.989154013015185,0
Nationality,disambig,actadd_Llama-3.1-8B-Instruct_pred_qonly,100.0,135.0,106.0,141.0,0.14522821576763478,0.17082683307332294,14.522821576763478,0
Nationality,disambig,actadd_Llama-3.1-8B-Instruct_pred_race,122.0,192.0,156.0,142.0,0.0915032679738561,0.46856465005931197,9.15032679738561,0
Nationality,disambig,baseline_Llama-3.1-8B-Instruct_pred_arc,234.0,257.0,185.0,166.0,0.004750593824228044,0.9433293978748524,0.47505938242280443,0
Nationality,disambig,baseline_Llama-3.1-8B-Instruct_pred_qonly,30.0,68.0,16.0,40.0,0.4025974025974026,0.15973741794310722,40.25974025974026,0
Nationality,disambig,baseline_Llama-3.1-8B-Instruct_pred_race,237.0,268.0,235.0,243.0,0.03967446592065116,0.8139303482587065,3.967446592065116,0
Nationality,disambig,deberta_base,345.0,372.0,309.0,361.0,0.05695746214852204,0.8168831168831169,5.695746214852204,0
Nationality,disambig,deberta_large,385.0,384.0,347.0,376.0,0.018766756032171594,0.9655844155844155,1.8766756032171594,0
Nationality,disambig,roberta_base,252.0,257.0,296.0,290.0,-0.0009132420091324533,0.5006493506493507,-0.09132420091324533,0
Nationality,disambig,roberta_large,374.0,378.0,323.0,329.0,0.007122507122507171,0.8961038961038961,0.7122507122507171,0
Nationality,disambig,unifiedqa_baseline_qonly,94.0,252.0,104.0,203.0,0.3935681470137826,0.21753246753246752,39.35681470137826,0
Nationality,disambig,unifiedqa_format_arc,371.0,360.0,350.0,358.0,-0.0020847810979847115,0.9285714285714286,-0.20847810979847115,0
Nationality,disambig,unifiedqa_format_race,362.0,364.0,353.0,368.0,0.011748445058742174,0.937012987012987,1.1748445058742174,0
Physical_appearance,ambig,ablation_Llama-3.1-8B-Instruct_pred_arc,8.0,63.0,40.0,57.0,0.4285714285714286,0.6470588235294118,15.126050420168067,0
Physical_appearance,ambig,ablation_Llama-3.1-8B-Instruct_pred_qonly,15.0,99.0,66.0,71.0,0.3545816733067728,0.5173076923076924,17.11538461538461,0
Physical_appearance,ambig,ablation_Llama-3.1-8B-Instruct_pred_race,16.0,66.0,47.0,54.0,0.3114754098360655,0.5704225352112676,13.38028169014084,0
Physical_appearance,ambig,actadd_Llama-3.1-8B-Instruct_pred_arc,43.0,79.0,57.0,89.0,0.25373134328358216,0.4856046065259117,13.051823416506721,0
Physical_appearance,ambig,actadd_Llama-3.1-8B-Instruct_pred_qonly,49.0,99.0,66.0,71.0,0.1929824561403508,0.5635528330781011,8.422664624808572,0
Physical_appearance,ambig,actadd_Llama-3.1-8B-Instruct_pred_race,42.0,78.0,54.0,57.0,0.16883116883116878,0.5416666666666666,7.7380952380952355,0
Physical_appearance,ambig,baseline_Llama-3.1-8B-Instruct_pred_arc,10.0,64.0,25.0,45.0,0.5138888888888888,0.6981132075471698,15.513626834381553,0
Physical_appearance,ambig,baseline_Llama-3.1-8B-Instruct_pred_qonly,12.0,81.0,41.0,53.0,0.4331550802139037,0.626746506986028,16.16766467065868,0
Physical_appearance,ambig,baseline_Llama-3.1-8B-Instruct_pred_race,18.0,53.0,17.0,39.0,0.44881889763779537,0.6371428571428571,16.28571428571429,0
Physical_appearance,ambig,deberta_base,49.0,229.0,67.0,210.0,0.581981981981982,0.2792207792207792,41.94805194805195,0
Physical_appearance,ambig,deberta_large,99.0,239.0,35.0,197.0,0.5298245614035089,0.2597402597402597,39.22077922077923,0
Physical_appearance,ambig,roberta_base,49.0,175.0,130.0,139.0,0.27383367139959436,0.35974025974025975,17.532467532467535,0
Physical_appearance,ambig,roberta_large,23.0,200.0,38.0,183.0,0.7252252252252251,0.42337662337662335,41.81818181818181,0
Physical_appearance,ambig,unifiedqa_baseline_qonly,17.0,146.0,40.0,182.0,0.7038961038961038,0.49607329842931935,35.47120418848167,0
Physical_appearance,ambig,unifiedqa_format_arc,35.0,228.0,19.0,197.0,0.7745302713987474,0.3730366492146597,48.560209424083766,0
Physical_appearance,ambig,unifiedqa_format_race,20.0,174.0,13.0,178.0,0.8285714285714285,0.49738903394255873,41.64490861618798,0
Physical_appearance,disambig,ablation_Llama-3.1-8B-Instruct_pred_arc,124.0,123.0,87.0,98.0,0.02314814814814814,0.8148984198645598,2.314814814814814,0
Physical_appearance,disambig,ablation_Llama-3.1-8B-Instruct_pred_qonly,11.0,103.0,64.0,70.0,0.39516129032258074,0.27724665391969405,39.51612903225807,0
Physical_appearance,disambig,ablation_Llama-3.1-8B-Instruct_pred_race,111.0,131.0,127.0,89.0,-0.0393013100436681,0.7145790554414785,-3.9301310043668103,0
Physical_appearance,disambig,actadd_Llama-3.1-8B-Instruct_pred_arc,65.0,105.0,95.0,104.0,0.13279132791327908,0.5625,13.279132791327907,0
Physical_appearance,disambig,actadd_Llama-3.1-8B-Instruct_pred_qonly,48.0,97.0,66.0,70.0,0.18861209964412806,0.23186119873817035,18.861209964412808,0
Physical_appearance,disambig,actadd_Llama-3.1-8B-Instruct_pred_race,55.0,88.0,66.0,62.0,0.10701107011070121,0.4029126213592233,10.701107011070121,0
Physical_appearance,disambig,baseline_Llama-3.1-8B-Instruct_pred_arc,98.0,110.0,71.0,69.0,0.028735632183908066,0.7617801047120419,2.8735632183908066,0
Physical_appearance,disambig,baseline_Llama-3.1-8B-Instruct_pred_qonly,10.0,78.0,36.0,57.0,0.4917127071823204,0.20717131474103587,49.17127071823204,0
Physical_appearance,disambig,baseline_Llama-3.1-8B-Instruct_pred_race,79.0,124.0,101.0,66.0,0.027027027027026973,0.6571428571428571,2.7027027027026973,0
Physical_appearance,disambig,deberta_base,178.0,182.0,144.0,167.0,0.04023845007451565,0.7532467532467533,4.023845007451565,0
Physical_appearance,disambig,deberta_large,202.0,183.0,195.0,175.0,-0.051655629139072845,0.8844155844155844,-5.1655629139072845,0
Physical_appearance,disambig,roberta_base,96.0,184.0,131.0,140.0,0.17604355716878395,0.44545454545454544,17.604355716878395,0
Physical_appearance,disambig,roberta_large,176.0,179.0,181.0,158.0,-0.028818443804034533,0.7909090909090909,-2.8818443804034533,0
Physical_appearance,disambig,unifiedqa_baseline_qonly,17.0,146.0,40.0,182.0,0.7038961038961038,0.2774869109947644,70.38961038961038,0
Physical_appearance,disambig,unifiedqa_format_arc,182.0,172.0,156.0,155.0,-0.016541353383458635,0.7843137254901961,-1.6541353383458635,0
